id,full_name,weight_class_description,elo,fight_count
257,Jason Thacker,Middleweight,987,2
258,Amar Suloev,Middleweight,975,3
259,Ikuhisa Minowa,Middleweight,1025,2
260,Leigh Remedios,Lightweight,975,2
261,Antoni Hardonk,Heavyweight,1016,9
262,David Heath,Light Heavyweight,987,6
263,Dean Lister,Middleweight,1042,7
264,Tim Sylvia,Heavyweight,1104,14
265,Rich Clementi,Lightweight,1031,11
267,Phil Baroni,Welterweight,946,11
268,Alex Schoenauer,Light Heavyweight,990,2
269,Spencer Fisher,Lightweight,1055,18
270,Kenny Florian,Featherweight,1215,18
271,Rory Singer,Middleweight,1025,5
272,Antonio Rodrigo Nogueira,Heavyweight,1025,12
273,Joey Gilbert,Lightweight,989,2
274,Kuniyoshi Hironaka,Welterweight,974,5
275,Wanderlei Silva,Light Heavyweight,1009,13
276,Kenichi Yamamoto,Welterweight,1029,4
277,Alberto Crane,Lightweight,952,3
278,Jay Hieron,Lightweight,943,5
279,Carlos Newton,Welterweight,1002,8
280,Josh Hendricks,Heavyweight,975,2
281,Jordan Radev,Middleweight,951,3
282,Din Thomas,Lightweight,1041,10
283,Yves Edwards,Lightweight,1010,22
284,Matt Hamill,Light Heavyweight,1096,16
285,Ryo Chonan,Welterweight,953,5
286,Gan McGee,Heavyweight,1016,5
287,Ricardo Almeida,Welterweight,1034,12
288,Justin James,Lightweight,985,2
289,Flavio Luiz Moura,Middleweight,976,2
290,Hector Ramirez,Light Heavyweight,954,3
291,Jorge Gurgel,Lightweight,972,8
292,Jared Rollins,Welterweight,976,2
293,Tiki Ghosn,Welterweight,929,5
294,Brad Imes,Heavyweight,943,4
295,Vitor Belfort,Middleweight,1154,27
296,Chael Sonnen,Light Heavyweight,1050,15
297,Stephan Bonnar,Light Heavyweight,1055,16
298,Andre Gusmao,Middleweight,954,3
299,Brad Blackburn,Welterweight,1035,6
300,Travis Fulton,Heavyweight,1006,3
301,Koji Oishi,Welterweight,961,3
302,Chris Wilson,Welterweight,954,5
303,Andrei Semenov,Middleweight,1012,3
304,Tim Credeur,Middleweight,1050,6
305,Brock Lesnar,Heavyweight,1054,9
306,Soa Palelei,Heavyweight,1036,8
307,Josh Haynes,Welterweight,942,4
308,Fabricio Werdum,Heavyweight,1123,19
309,Krzysztof Soszynski,Light Heavyweight,1107,10
310,Ricco Rodriguez,Light Heavyweight,1079,8
311,Brock Larson,Welterweight,1028,7
312,Gilbert Aldana,Heavyweight,964,3
313,Gabe Ruediger,Featherweight,950,4
314,Jeff Curran,Bantamweight,940,4
315,George Sotiropoulos,Lightweight,1120,12
316,Sean Salmon,Light Heavyweight,958,3
317,Lee Murray,Middleweight,1025,2
318,Ryan Jensen,Middleweight,925,9
319,Alex Karalexis,Lightweight,996,4
320,Eric Schafer,Middleweight,967,10
321,Rodrigo Ruas,Middleweight,976,2
322,Joe Doerksen,Middleweight,932,10
323,Brandon Vera,Light Heavyweight,1012,17
324,Joe Slick,Middleweight,1001,3
325,Kelly Dullanty,Lightweight,986,2
326,Demian Maia,Welterweight,1321,34
327,Joe Veres,Lightweight,959,3
328,Josh Barnett,Heavyweight,1122,11
329,CJ Fernandes,Welterweight,1000,2
330,Josh Koscheck,Welterweight,1129,26
331,Jules Bruchez,Light Heavyweight,975,2
332,James Giboo,Welterweight,976,2
333,Joey Roberts,Heavyweight,975,2
334,Andy Wang,Lightweight,977,2
335,Mike Wessel,Heavyweight,975,2
336,Yoshiyuki Yoshida,,990,6
337,James Zikic,Light Heavyweight,976,2
338,David Terrell,Middleweight,1041,4
339,Jon Fitch,Welterweight,1258,19
340,Heath Herring,Heavyweight,984,6
341,Genki Sudo,Lightweight,1025,4
342,Travis Wiuff,Light Heavyweight,963,3
343,Nick Serra,Welterweight,976,2
344,Daiju Takase,Welterweight,939,4
