Jorge Gurgel,979,John Halverson,978,27.808758476352434
Josh Koscheck,1053,Dustin Hazelett,1029,26.494894794630387
Heath Herring,1005,Cheick Kongo,1032,29.38660806806484
Yushin Okami,1053,Evan Tanner,953,27.865581688114638
Chris Lytle,1027,Kyle Bradley,951,26.494894794630387
Antonio Rodrigo Nogueira,1001,Tim Sylvia,976,26.43752819461343
Marvin Eastman,1004,Terry Martin,976,26.265339649022927
Tyson Griffin,1026,Gleison Tibau,952,26.38014640179387
Ricardo Almeida,1001,Rob Yundt,951,25.0
Tim Boetsch,1026,David Heath,975,25.057564525591136
Nate Marquardt,1026,Jeremy Horn,952,26.38014640179387
Rob Emerson,1051,Keita Nakamura,976,26.43752819461343
Frank Mir,1051,Brock Lesnar,1027,26.494894794630387
Patrick Cote,1027,Drew McFedries,954,26.3227500188367
Mike Swick,1080,Joshua Burkman,933,30.492735116701198
Matt Wiman,1026,Justin Buchholz,1002,26.494894794630387
Nate Diaz,1079,Alvin Robinson,954,29.274933933590475
Gray Maynard,1079,Dennis Siver,954,29.274933933590475
Thiago Tavares,978,Michihiro Omigawa,978,27.865581688114638
Corey Hill,979,Joe Veres,978,27.808758476352434
Jeremy Stephens,1026,Cole Miller,1002,26.494894794630387
Kurt Pellegrino,1025,Alberto Crane,975,25.0
Paul Kelly,1001,Paul Taylor,976,26.43752819461343
Marcus Davis,1028,Jess Liaudin,928,27.865581688114638
BJ Penn,1052,Joe Stevenson,977,26.43752819461343
Jorge Rivera,1004,Kendall Grove,1003,27.808758476352434
Wilson Gouveia,1058,Jason Lambert,933,29.274933933590475
Fabricio Werdum,1029,Gabriel Gonzaga,1028,27.808758476352434
Antoni Hardonk,1081,Colin Robinson,978,28.035869092344367
Alessio Sakara,1028,James Lee,975,25.17269113521088
Sam Stout,981,Per Eklund,1004,29.163083781258447
Chuck Liddell,1003,Wanderlei Silva,980,26.552245599820917
Mark Bocek,1028,Doug Evans,975,25.17269113521088
Manvel Gamburyan,1026,Nate Mohr,975,25.057564525591136
Georges St-Pierre,1080,Matt Hughes,955,29.274933933590475
Dean Lister,1026,Jordan Radev,975,25.057564525591136
James Irvin,1029,Luiz Cane,1031,27.979137573487062
Eddie Sanchez,981,Soa Palelei,978,27.6950244109439
Roan Carneiro,981,Tony DeSouza,978,27.6950244109439
Rich Clementi,1055,Melvin Guillard,1000,25.287810420557243
Lyoto Machida,1051,Rameau Thierry Sokoudjou,977,26.38014640179387
War Machine,1002,Jared Rollins,976,26.38014640179387
Troy Mandaloniz,1025,Richie Hightower,975,25.0
Ben Saunders,1081,Dan Barrera,978,28.035869092344367
Roger Huerta,1005,Clay Guida,1032,29.38660806806484
George Sotiropoulos,1051,Billy Miles,976,26.43752819461343
Roman Mitichyan,1001,Dorian Price,976,26.43752819461343
Matt Arroyo,1001,John Kolosci,976,26.43752819461343
Jonathan Goulet,1026,Paul Georgieff,975,25.057564525591136
Mac Danzig,1030,Tommy Speer,952,26.60958000882759
Thiago Silva,1054,Houston Alexander,929,29.274933933590475
Thiago Alves,1108,Chris Lytle,1005,28.035869092344367
Rashad Evans,1078,Michael Bisping,1056,26.60958000882759
Ed Herman,980,Joe Doerksen,952,26.265339649022927
Marcus Aurelio,1004,Luke Caudillo,976,26.265339649022927
Akihiro Gono,1001,Tamdan McCrory,977,26.494894794630387
Frankie Edgar,1029,Spencer Fisher,1028,27.808758476352434
Joe Lauzon,1026,Jason Reinhardt,975,25.057564525591136
Karo Parisyan,1004,Ryo Chonan,977,26.3227500188367
Joshua Burkman,962,Forrest Petz,979,28.826520743315797
Demian Maia,1111,Ryan Jensen,957,30.874849829055613
Yushin Okami,1081,Jason MacDonald,981,27.865581688114638
Matt Grice,1025,Jason Black,975,25.0
Tim Sylvia,1001,Brandon Vera,951,25.0
Anderson Silva,1103,Rich Franklin,1028,26.43752819461343
Alan Belcher,1030,Kalib Starnes,953,26.552245599820917
Stephan Bonnar,1026,Eric Schafer,1001,26.43752819461343
Alvin Robinson,980,Jorge Gurgel,955,26.43752819461343
